 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received,Date resolved,Resolution time(in days),Year,QTR (US FLY)
944744,Alorica Inc.,Debt collection,"Loan modification,collection,foreclosure",TN,Web,07/20/2014,07/20/2014,Yes,No,Tennessee,7/20/2014,7/20/2014,0,2014,Q3
1788438,U.S. Bancorp,Bank account or service,Problems caused by my funds being low,IL,Web,02/16/2016,02/16/2016,Yes,Yes,Illinois,2/16/2016,2/16/2016,0,2016,Q1
852401,Allied Interstate LLC,Debt collection,Improper contact or sharing of info,OH,Web,05/14/2014,05/14/2014,Yes,Yes,Ohio,5/14/2014,5/14/2014,0,2014,Q2
1581553,Capital One,Credit card,Delinquent account,CA,Web,09/26/2015,09/26/2015,Yes,Yes,California,9/26/2015,9/26/2015,0,2015,Q3
532623,Capital One,Credit card,APR or interest rate,CA,Web,09/18/2013,09/18/2013,Yes,No,California,9/18/2013,9/18/2013,0,2013,Q3
1181789,Consumer Portfolio Services,Consumer Loan,Problems when you are unable to pay,PA,Web,06/01/2015,09/01/2015,Yes,Yes,Pennsylvania,01/06/2015,01/09/2015,3,2015,Q1
775390,Ally Financial Inc.,Consumer Loan,Managing the loan or lease,NY,Email,03/24/2014,03/31/2014,Yes,No,New York,3/24/2014,3/31/2014,7,2014,Q1
921380,JPMorgan Chase & Co.,Mortgage,"Loan servicing, payments, escrow account",MA,Web,02/07/2014,02/07/2014,Yes,Yes,Massachusetts,07/02/2014,07/02/2014,0,2014,Q3
1611503,JPMorgan Chase & Co.,Credit card,Payoff process,WA,Web,10/16/2015,10/16/2015,Yes,No,Washington,10/16/2015,10/16/2015,0,2015,Q4
600425,Capital One,Credit card,Credit line increase/decrease,MA,Web,11/15/2013,11/15/2013,Yes,No,Massachusetts,11/15/2013,11/15/2013,0,2013,Q4
